Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Цибуленко,Аркадій,Григорійович,male,1983-01-29,PR-менеджер,село Перевальськ,"шосе Мічуріна, буд. 014 кв. 859, Новомосковськ, 14842",+380 32 097-55-05,azar66@example.net
Конопленко,Тимофій,Олександрович,male,1944-03-05,Дизайнер,місто Мала Виска,"вулиця Хутірська, буд. 720, Середина-Буда, 42305",+380 55 122-56-21,shvachkaievhen@example.com
Данильчук,Борис,Михайлович,male,1947-09-02,Менеджер з закупівель,село Першотравенськ,"набережна Різдвяна, буд. 90, Суми, 64096",976-38-99,azhazhaillia@example.org
Чумак,Валентин,Ігорович,male,1959-11-14,Інженер з якості,хутір Шпола,"площа Багрицького, буд. 679, Бершадь, 53241",064 988 70 51,zorian36@example.net
Симоненко,Христина,Мар'янівна,female,1992-11-23,Аудитор,місто Іловайськ,"сквер Красна, буд. 9 кв. 599, Українка , 21577",+380 (10) 855-10-20,anitaverkhovynets@example.org
Скорик,Герман,Максимович,male,1985-07-22,Системний адміністратор,хутір Моршин,"проспект Свободи, буд. 226 кв. 597, Саки , 35362",+380 36 748-08-37,varfolomii36@example.org
Шеремета,Алла,Денисівна,female,1960-12-23,Тестувальник,село Генічеськ,"проспект Заньковецької, буд. 157 кв. 1, Антрацит , 93936",087 684 35 29,zynoviidutka@example.net
Негода,Аніта,Тимофіївна,female,1952-06-03,HR-менеджер,хутір Ровеньки,"проспект Василя Симоненка, буд. 948, Бершадь, 38262",+380 35 213-76-40,pzaiets@example.net
Вакуленко,Христина,Михайлівна,female,1938-06-18,Аудитор,хутір Тростянець,"вулиця Надіїі, буд. 3, Лозова , 61407",+380 (37) 259-38-73,chekaliukmarta@example.net
Ємельяненко,Едита,Тарасівна,female,1986-04-13,Бухгалтер,село Щолкіне,"вулиця Гагаріна, буд. 6, Острог, 83345",+380 63 320-39-81,heorhii15@example.com
Стець,Аніта,Іванівна,female,1981-10-03,Інженер з якості,село Кременчук,"провулок Педагогічний, буд. 16, Шостка, 57065",861-39-46,oleh73@example.net
Швачко,Володимир,Геннадійович,male,1980-10-02,Бухгалтер,село Ладижин,"провулок Роздольна, буд. 16 кв. 1, Вишневе , 94387",285 10 85,redkoleontii@example.org
Юрчишин,Віталій,Ярославович,male,1986-12-18,Програміст,хутір Гола Пристань,"шосе Амурський 1-й, буд. 2, Рені, 82959",+380 61 104-69-79,ilchenkooles@example.org
Скопенко,Олекса,Зеновійович,male,1966-09-12,Аудитор,село Радивилів,"провулок Трояндова, буд. 845, Буча, 38524",+380 39 664-55-46,alevtynshchyrytsia@example.org
Скорик,Марта,Петрівна,female,1973-05-16,Копірайтер,місто Городок,"проспект Крилова, буд. 9 кв. 336, Нетішин, 33537",+380 (78) 674-23-19,valentyna10@example.com
Верменич,Ганна,Зеновіївна,female,2005-07-10,Фінансовий аналітик,село Подільськ,"проспект Виноградний, буд. 160, Судова Вишня, 06337",336-26-33,jgerus@example.net
Баран,Ярослав,Костянтинович,male,1990-11-22,Аналітик даних,селище Бориспіль,"вулиця Вєтрова, буд. 0, Канів, 46945",269 80 82,viktor26@example.org
Івасюк,Іван,Григорійович,male,1985-10-10,Офіс-менеджер,місто Васильків,"узвіз Джутовий, буд. 9 кв. 58, Федорівка, 62044",058 457 31 07,ebabiak@example.net
Авраменко,Григорій,Вікторович,male,1965-08-07,Інженер з якості,село Сватове,"вулиця Кощового отамана, буд. 51, Батурин, 33595",062 116 71 13,boleslavzabarnyi@example.org
Гайдабура,Марʼяна,Геннадіївна,female,1948-05-05,Архітектор,селище Красноград,"проспект Ванцетті, буд. 3, Красноперекопськ, 40030",098 968-70-80,cdeineko@example.net
Авраменко,Людмила,Андріївна,female,1953-04-04,Копірайтер,селище Гнівань,"парк Цебриківська, буд. 384 кв. 9, Радехів, 62729",288-08-13,vashchenko-zakharchenkohalyna@example.org
Єрченко,Кирило,Петрович,male,1974-05-19,Менеджер з закупівель,місто Шахтарськ,"проспект Шухевича Романа, буд. 450, Чугуїв, 77965",445 15 53,iarema90@example.net
Удовиченко,Василь,Геннадійович,male,1985-06-02,Тестувальник,село Кремінна,"узвіз Військовий узвіз, буд. 59, Селидове, 64260",+380 14 875-87-68,fedirdevdiuk@example.com
Гоголь,Михайло,Тимофійович,male,1948-01-11,Менеджер з закупівель,село Козятин,"проспект Східний 1-й, буд. 413, Мала Виска, 75828",+380 (29) 331-96-12,piddubnyiivan@example.org
Черінько,Лілія,Романівна,female,1945-06-23,Системний адміністратор,село Покров,"проспект Університетський, буд. 13, Христинівка, 91003",+380 42 043-63-62,shcherbanpanas@example.net
Лисенко,Богдан,Олегович,male,1984-03-23,Бухгалтер,село Красноперекопськ,"парк Латвійський узвіз, буд. 6, Глухів, 14739",+380 99 874-65-75,zorian22@example.org
Зінчук,Орхип,Романович,male,1941-04-01,Архітектор,селище Березівка,"площа Отамана Чепіги, буд. 7, Красилів, 88105",059 243-71-07,olesromanenko@example.org
Заєць,Георгій,Ярославович,male,1971-03-24,Менеджер з маркетингу,селище Алмазна,"проспект Тираспольська, буд. 589 кв. 227, Богодухів, 63401",609 83 25,vadym71@example.com
Фаренюк,Аркадій,Костянтинович,male,1965-09-20,Фінансовий аналітик,село Нововолинськ,"площа Карпатська, буд. 4, Заставна, 53427",256-64-61,serhiisirchenko@example.org
Аверченко,Лілія,Кирилівна,female,2002-04-09,PR-менеджер,місто Старий Крим,"вулиця Побратимів, буд. 80 кв. 70, Полонне, 47669",639 66 92,korsunpanas@example.org
Артимишин,Анжела,Марківна,female,1939-04-11,Копірайтер,хутір Федорівка,"площа Кристаловського, буд. 6, Полтава, 16726",+380 65 997-73-17,nazarenkolukian@example.net
Малик,Хома,Володимирович,male,1990-03-10,Бухгалтер,село Ялта,"шосе Маршрутна, буд. 121, Ланівці, 13685",182 00 79,ozhuchenko@example.org
Ісаєнко,Йосип,Федорович,male,1993-03-24,Кадровий менеджер,селище Джанкой,"сквер Стамбульський, буд. 48, Новояворівськ, 66142",002 729 08 80,parmen14@example.com
Вертипорох,Борис,Захарович,male,1979-10-24,Аудитор,селище Золоте,"сквер Естафетна, буд. 6 кв. 63, Суми, 35965",025 238-79-32,darynabandera@example.com
Юхименко,Леопольд,Тарасович,male,1965-07-04,Архітектор,селище Хорол ,"набережна Чернишевського, буд. 463 кв. 42, Соснівка , 29892",+380 16 929-86-09,govcharenko@example.com
Онищенко,Аарон,Зеновійович,male,1970-12-16,Менеджер з продажу,село Татарбунари,"узвіз Кривобалківська, буд. 66 кв. 5, Кипуче, 72848",+380 15 876-63-20,alinakovalenko@example.net
Фартушняк,Віталій,Васильович,male,1962-11-17,Програміст,село Миргород,"провулок Одеська, буд. 14 кв. 6, Перечин, 67594",+380 63 023-70-74,nataliiakomar@example.org
